 Absolute load value (%), Absolute throttle position (%), Ambient air temperature (F), Barometric pressure (inHg), Calculated load value (%), Commanded fuel rail pressure A (inHg), Engine coolant temperature (F), Engine RPM (RPM), Fuel level input (%), Fuel rail pressure (psi), Fuel/Air commanded equivalence ratio, Ignition timing advance for #1 cylinder (deg), Intake air temperature (F), Intake manifold absolute pressure (inHg), Long term fuel % trim - Bank 1 (%), Mass air flow rate (lb/min), Vehicle speed (MPH), Fuel rate (gal/hr), Instant fuel economy (MPG), Total fuel economy (MPG)
40.39216,23.13725,78.8,30.1207,52.15686,2326.972,190.4,1617,74.5098,1247.325,0.987834,27,82.4,28.05359,8.59375,1.582308,11.80605,1.064715,11.08846,30.02404
45.88235,26.27451,78.8,30.1207,55.68628,2575.025,190.4,1946.75,74.5098,1370.607,0.988688,21.5,82.4,26.28179,8.59375,1.939518,15.53428,1.303949,11.91326,29.99855
28.23529,12.54902,78.8,30.1207,33.33333,1491.27,190.4,1642,74.5098,741.1428,0.9893895,43,82.4,19.19456,8.59375,1.391796,20.50525,0.934904,21.933,29.98014
29.80392,16.86275,78.8,30.1207,34.5098,1494.223,190.4,1584,74.5098,726.639,0.9893895,41.5,82.4,18.30866,8.59375,1.119258,21.74799,0.7513003,28.94713,29.98318
24.31373,9.803922,78.8,30.1207,23.92157,1004.023,190.4,1559.5,74.5098,509.0825,0.9893895,42.5,80.6,13.87915,8.59375,0.629748,21.74799,0.4227175,51.44806,29.98764
24.70588,16.07843,78.8,30.1207,28.62745,1213.687,190.4,1601,74.5098,597.5555,0.989664,43.5,80.6,15.65095,8.59375,1.075599,22.36936,0.7219943,30.98274,29.98824
23.13725,13.72549,78.8,30.1207,25.09804,968.5873,190.4,1218.25,74.5098,443.8155,0.9898775,29,80.6,8.268428,8.59375,0.725004,22.36936,0.4865229,45.97802,29.99328
11.37255,11.76471,78.8,30.1207,14.90196,885.903,190.4,1074.25,74.5098,433.6628,0.995276,36,80.6,8.268428,8.59375,0.280476,22.36936,0.1881763,118.8745,30.0108
11.37255,11.76471,78.8,30.1207,14.90196,885.903,190.4,1055.75,74.5098,433.6628,0.9954285,38,82.4,10.33554,8.59375,0.287091,21.74799,0.1915697,113.5252,30.02056
16.07843,12.94118,78.8,30.1207,24.70588,885.903,190.4,1031.5,74.5098,429.3117,0.9954895,35,82.4,13.28854,8.59375,0.41013,21.74799,0.273629,79.47984,30.03312
18.82353,13.72549,78.8,30.1207,25.88235,918.3861,190.4,1023,74.5098,439.4644,0.99552,35,82.4,14.46975,8.59375,0.447174,21.12662,0.2983256,70.81732,30.04402
19.60784,13.33333,78.8,30.1207,26.66667,912.4801,190.4,1015.75,74.5098,449.617,0.9954895,32.5,82.4,12.40264,8.59375,0.440559,21.12662,0.2939035,71.88284,30.05205
14.5098,12.54902,78.8,30.1207,25.09804,1402.68,190.4,1422.75,74.5098,548.2427,0.99552,32,82.4,14.46975,8.59375,0.095256,20.50525,0.06354865,322.6701,30.0713
14.11765,12.94118,78.8,30.1207,16.07843,885.903,190.4,1410.75,74.5098,433.6628,0.9955505,34.5,82.4,8.563729,8.59375,0.109809,20.50525,0.07325523,279.9152,30.09146
13.33333,12.94118,78.8,30.1207,15.68627,885.903,190.4,1401,78.03922,433.6628,0.995642,37,82.4,7.087224,5.46875,0.392931,19.88388,0.2621221,75.85731,30.09832
9.803922,10.98039,78.8,30.1207,13.33333,885.903,190.4,1250.5,78.03922,453.9681,1.000003,35,82.4,5.315418,5.46875,0.312228,19.26251,0.2082665,92.48972,30.10625
10.19608,10.98039,78.8,30.1207,12.94118,885.903,190.4,1140.25,78.03922,459.7696,1.000003,34,84.2,5.90602,5.46875,0.197127,18.01976,0.1309168,137.6429,30.11652
10.19608,10.98039,78.8,30.1207,14.11765,885.903,190.4,989.5,78.03922,464.1208,1.000003,33.5,84.2,6.201321,5.46875,0.220941,15.53428,0.1467322,105.8682,30.12482
10.98039,10.98039,78.8,30.1207,15.68627,885.903,190.4,921,78.03922,468.4719,1.000003,30,84.2,6.201321,5.46875,0.193158,14.29154,0.1282809,111.4082,30.13261
