Absolute load value (%),Absolute throttle position (%),Ambient air temperature (F),Barometric pressure (inHg),Calculated load value (%),Commanded fuel rail pressure A (inHg),Engine coolant temperature (F),Engine RPM (RPM),Fuel level input (%),Fuel rail pressure (psi),Fuel/Air commanded equivalence ratio,Intake air temperature (F),Intake manifold absolute pressure (inHg),Long term fuel % trim - Bank 1 (%),Mass air flow rate (lb/min),Vehicle speed (MPH),Fuel rate (gal/hr),Instant fuel economy (MPG)
18.82353,13.33333,62.6,29.8254,22.35294,1077.849,159.8,1321.5,83.92157,638.166,0.995581,68,23.32878,7.8125,0.605934,37.90364,0.4055322,93.46642
41.56863,26.66667,62.6,29.8254,51.76471,2412.609,159.8,1337.75,83.92157,1316.943,0.9914025,68,28.6442,7.8125,1.784727,37.28227,1.190545,31.31529
75.29412,31.76471,62.6,29.8254,94.11765,2669.521,159.8,1334.5,83.92157,1292.286,0.9943305,68,30.1207,7.8125,2.120769,37.90364,1.420673,26.68007
85.88235,38.82353,62.6,29.8254,98.03922,2734.487,159.8,1375.25,83.92157,1376.408,0.9948185,68,30.416,7.8125,2.059911,38.52501,1.375841,28.00106
73.33334,25.88235,62.6,29.8254,56.47059,2518.917,159.8,1405.25,83.92157,1073.279,0.994422,68,21.26167,7.8125,2.339064,40.38913,1.561525,25.86518
27.45098,12.15686,62.6,29.8254,26.66667,1036.506,159.8,1433.25,74.5098,443.8155,0.992531,68,9.154331,7.8125,0.686637,41.0105,0.4585716,89.43096
12.54902,13.33333,62.6,29.8254,14.11765,885.903,159.8,1459.5,74.5098,513.4336,0.995642,68,13.28854,7.8125,0.390285,41.63187,0.261149,159.418
22.35294,15.68627,62.6,29.8254,25.4902,1077.849,159.8,1474.5,74.5098,513.4336,0.994361,68,12.40264,7.8125,0.837459,42.25324,0.558613,75.63956
20,14.11765,62.6,29.8254,20.78431,885.903,159.8,1486.5,74.5098,433.6628,0.9956115,68,7.677826,7.8125,0.72765,42.87461,0.485992,88.22082
12.15686,12.94118,62.6,29.8254,14.11765,885.903,159.8,1281,74.5098,433.6628,0.995703,68,7.382525,7.8125,0.460404,43.49598,0.3071142,141.6281
11.37255,12.54902,62.6,29.8254,13.72549,885.903,159.8,1292,74.5098,429.3117,0.99552,68,7.677826,7.8125,0.350595,44.11736,0.2338442,188.6613
13.72549,13.33333,62.6,29.8254,17.2549,885.903,159.8,1292,74.5098,449.617,0.9954895,68,13.28854,7.8125,0.444528,44.11736,0.2965513,148.7681
25.4902,19.21569,62.6,29.8254,32.54902,1476.505,159.8,1309,74.5098,870.2264,0.9939645,68,26.87239,7.8125,0.668115,44.11736,0.4457232,98.97927
40.39216,22.7451,62.6,29.8254,46.66667,2075.966,159.8,1292.5,74.5098,1073.279,0.991128,68,28.3489,7.8125,1.562463,44.11736,1.043974,42.25907
40.39216,22.7451,62.6,29.8254,45.4902,1946.034,159.8,1291.25,74.5098,944.1957,0.991494,68,25.98649,7.8125,1.225098,44.11736,0.8209028,53.74248
35.29412,18.82353,62.6,29.8254,40.78431,1798.383,165.2,1294.5,74.90196,880.3791,0.991128,68,25.98649,7.8125,1.049139,44.11736,0.7027383,62.77921
28.62745,9.411765,62.6,29.8254,29.41176,1066.037,165.2,1280,74.90196,464.1208,0.990884,68,9.154331,7.8125,0.592704,44.11736,0.3971539,111.0838
11.37255,12.54902,62.6,29.8254,13.33333,885.903,165.2,1261.25,74.90196,429.3117,0.995642,68,9.154331,7.8125,0.283122,43.49598,0.1897586,229.2175
14.11765,10.98039,62.6,29.8254,13.33333,885.903,165.2,1223.75,74.90196,439.4644,0.995764,68,10.92614,7.8125,0.378378,42.87461,0.2523907,169.874
15.29412,14.11765,62.6,29.8254,18.82353,885.903,165.2,1432.25,74.90196,453.9681,0.9957945,69.8,7.973127,7.8125,0.504063,42.25324,0.3361856,125.6843
23.52941,15.29412,62.6,29.8254,27.45098,1139.862,165.2,1340.5,74.90196,568.5479,0.994239,69.8,19.48987,7.8125,1.140426,39.14639,0.7605855,51.46875
36.07843,26.27451,62.6,29.8254,63.52941,2583.884,165.2,1294.75,74.90196,1306.79,0.9907925,69.8,29.5301,7.8125,1.369305,37.90364,0.9146608,41.44011
82.74509,36.47059,62.6,29.8254,99.21568,3797.571,165.2,1749.75,74.90196,1911.597,0.995703,69.8,29.2348,7.8125,2.177658,36.6609,1.45968,25.11571
