Time (sec),Absolute load value (%),Absolute throttle position (%),Ambient air temperature (F),Barometric pressure (inHg),Calculated load value (%),Commanded fuel rail pressure A (inHg),Engine coolant temperature (F),Engine RPM (RPM),Fuel level input (%),Fuel rail pressure (psi),Fuel/Air commanded equivalence ratio,Intake air temperature (F),Intake manifold absolute pressure (inHg),Long term fuel % trim - Bank 1 (%),Mass air flow rate (lb/min),Vehicle speed (MPH),Acceleration (mph/s),Fuel rate (gal/hr),Instant fuel economy (MPG)
107.981,22.7451,11.76471,87.8,29.8254,42.35294,1066.037,197.6,557.25,67.84314,538.09,0.9952455,105.8,14.17445,3.90625,0.269892,0,0,0.1800987,0
108.803,22.35294,11.76471,87.8,29.8254,42.35294,1060.131,197.6,557.75,67.84314,513.4336,0.9952455,105.8,14.46975,3.90625,0.272538,0,0,0.1818643,0
109.76,22.7451,11.76471,87.8,29.8254,41.96078,1071.943,197.6,557.75,67.84314,513.4336,0.9952455,105.8,14.46975,3.90625,0.308259,0,0,0.2057009,0
111.131,22.35294,11.76471,87.8,29.8254,41.56863,1060.131,194,555.75,67.45098,513.4336,0.9952455,105.8,14.17445,3.90625,0.281799,0,0,0.1880442,0
111.852,22.35294,12.15686,87.8,29.8254,41.56863,1074.896,194,556.5,67.45098,513.4336,0.9952455,105.8,14.17445,3.90625,0.296352,0,0,0.1977554,0
113.22,22.35294,11.76471,87.8,29.8254,41.56863,1071.943,194,560.25,67.45098,538.09,0.9952455,105.8,14.17445,3.90625,0.287091,0,0,0.1915755,0
114.926,22.7451,11.76471,87.8,29.8254,41.56863,1063.084,194,553,67.45098,513.4336,0.9952455,105.8,14.17445,3.90625,0.267246,0,0,0.178333,0
115.892,22.35294,11.76471,87.8,29.8254,41.96078,1060.131,194,564.25,67.45098,533.7389,0.9952455,105.8,14.17445,3.90625,0.269892,0,0,0.1800987,0
116.946,22.35294,11.76471,87.8,29.8254,41.96078,1054.225,194,546.75,67.45098,533.7389,0.9952455,105.8,14.46975,3.90625,0.261954,0,0,0.1748016,0
117.708,22.35294,11.76471,87.8,29.8254,41.17647,1054.225,194,555.25,67.45098,523.5862,0.9952455,105.8,14.17445,3.90625,0.267246,0,0,0.178333,0
118.455,22.35294,11.76471,87.8,29.8254,42.35294,1066.037,194,551,67.45098,513.4336,0.9952455,105.8,14.46975,3.90625,0.29106,0,0,0.194224,0
119.433,22.7451,11.76471,87.8,29.8254,42.35294,1083.755,194,555,67.45098,543.8915,0.9952455,105.8,14.46975,3.90625,0.305613,0,0,0.2039352,0
120.107,22.7451,11.76471,87.8,29.8254,41.96078,1068.99,194,561.25,67.45098,519.2351,0.9952455,105.8,14.17445,3.90625,0.273861,0,0,0.1827472,0
121.378,22.35294,11.76471,87.8,29.8254,41.96078,1057.178,194,544,67.45098,513.4336,0.9952455,105.8,14.17445,3.90625,0.272538,0,0,0.1818643,0
122.122,22.35294,11.76471,87.8,29.8254,41.56863,1048.319,194,559.5,67.45098,513.4336,0.9952455,105.8,14.46975,3.90625,0.27783,0,0,0.1853957,0
123.009,21.96078,11.76471,87.8,29.8254,41.17647,1054.225,194,558.5,67.45098,527.9374,0.9952455,105.8,14.17445,3.90625,0.27783,0,0,0.1853957,0
123.75,21.96078,11.76471,87.8,29.8254,41.17647,1054.225,194,550.5,67.45098,509.0825,0.9952455,105.8,14.17445,3.90625,0.268569,0,0,0.1792158,0
124.524,21.96078,11.76471,87.8,29.8254,41.56863,1048.319,194,561,67.45098,523.5862,0.9952455,105.8,14.17445,3.90625,0.285768,0,0,0.1906927,0
125.295,22.35294,11.76471,87.8,29.8254,41.56863,1063.084,194,557.5,67.45098,519.2351,0.9952455,105.8,14.17445,3.90625,0.292383,0,0,0.1951069,0
126.686,22.35294,11.76471,87.8,29.8254,41.96078,1060.131,194,548,67.45098,513.4336,0.9952455,105.8,14.46975,3.90625,0.292383,0,0,0.1951069,0
